,Type,Name,Location,Capacity,Inspections,Phone
1437,DAY CARE (FACILITY-BASED PROGRAM),KIDS CLUB EARLY LEARNING,"7804 GATEWAY BLVD  EDMONTON, AB  T6E 6C3  ",120,view,  780-440-6625
1438,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS CLUB EARLY LEARNING,"7804 GATEWAY BLVD  EDMONTON, AB  T6E 6C3  ",120,view,  780-440-6625
1439,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIDS CONNECTION,"800 EAST LAKE BLVD  AIRDRIE, AB  T4A 2K9  ",24,view,  403-948-8804
1440,DAY CARE (FACILITY-BASED PROGRAM),KIDS CONNECTION DAYCARE,"UNIT 104 - 450 VISTA DRIVE SE  MEDICINE HAT, AB  T1B 4T1  ",68,view,  587-554-4617
1441,DAY CARE (FACILITY-BASED PROGRAM),KIDS CONNECTION DAYCARE,"111A MACLEOD TRAIL SW  HIGH RIVER, AB  T1V 1M9  ",86,view,  403-652-3911
1442,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS CONNECTION DAYCARE,"UNIT 104 - 450 VISTA DRIVE SE  MEDICINE HAT, AB  T1B 4T1  ",68,view,  587-554-4617
1443,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS CONNECTION OUT OF SCHOOL CARE PROGRAM AND PLAYHOUSE,"121 - 1 STREET SW  HIGH RIVER, AB  T1V 1P7  ",65,view,  403-397-5424
1444,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS COOLLEGE,"206, 11540 24 STREET SE  CALGARY, AB  T2Z 3K1  ",60,view,  403-264-7738
1445,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIDS COOLLEGE,"206, 11540 24 STREET SE  CALGARY, AB  T2Z 3K1  ",60,view,  403-264-7738
1446,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS COVE DAYCARE,"14928 45 AVENUE  EDMONTON, AB  T6H 5T5  ",172,view,  780-761-7266
1447,DAY CARE (FACILITY-BASED PROGRAM),KIDS COVE DAYCARE,"14928 45 AVENUE  EDMONTON, AB  T6H 5T5  ",172,view,  780-761-7266
1448,DAY CARE (FACILITY-BASED PROGRAM),KIDS FIRST CREATIVE CHILDCARE CENTRE,"3620 CEDARILLE DRIVE SW  CALGARY, AB  T2W 5B2  ",100,view,  403-281-1418
1449,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS FIRST CREATIVE CHILDCARE CENTRE,"3620 CEDARILLE DRIVE SW  CALGARY, AB  T2W 5B2  ",100,view,  403-281-1418
1450,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIDS FIRST CREATIVE CHILDCARE CENTRE,"3620 CEDARILLE DRIVE SW  CALGARY, AB  T2W 5B2  ",100,view,  403-281-1418
1451,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIDS FORT CHILD CARE & OUT OF SCHOOL CARE,"10404 99 AVE.  FORT SASKATCHEWAN, AB  T8L 3W2  ",110,view,  780-912-9977
1452,DAY CARE (FACILITY-BASED PROGRAM),KIDS FORT CHILD CARE & OUT OF SCHOOL CARE,"10404 99 AVE.  FORT SASKATCHEWAN, AB  T8L 3W2  ",110,view,  780-912-9977
1453,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS FORT CHILD CARE & OUT OF SCHOOL CARE,"10404 99 AVE.  FORT SASKATCHEWAN, AB  T8L 3W2  ",110,view,  780-912-9977
1454,DAY CARE (FACILITY-BASED PROGRAM),KIDS FUN N LEARN CENTRE,"1810 - 30 STREET SE  CALGARY, AB  T2B 2K5  ",48,view,  403-351-7581
1455,DAY CARE (FACILITY-BASED PROGRAM),KIDS GARDEN DAYCARE,"16708 100 STREET  EDMONTON, AB  T5X 2S9  ",56,view,  780-705-1516
1456,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS GARDEN DAYCARE,"16708 100 STREET  EDMONTON, AB  T5X 2S9  ",56,view,  780-705-1516
1457,DAY CARE (FACILITY-BASED PROGRAM),KIDS HAVEN CHILDCARE,"2E SIR WINSTON CHURCHILL AVE  ST. ALBERT, AB  T8N 3T6  ",42,view,  780-459-0260
1458,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIDS KINGDOM PRESCHOOL,"1 WASKASOO AVENUE  PENHOLD, AB  T0M 1R0  ",20,view,  587-377-5639
1459,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS KLUB MAGIC OSC,"11750 162 AVENUE  ST. LUCY SCHOOL  EDMONTON, AB  T5X 4L9  ",31,view,  780-292-5603
1460,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIDS KOLLEGE NURSERY SCHOOL,"2802 - 222 STREET  M.D. MCEACHERN COMMUNITY FACILITY  BELLEVUE, AB  T0K 0C0  ",19,view,  403-562-2624
1461,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS LOVE BOWNESS LTD.,"4631 - 85 STREET NW  CALGARY, AB  T3B 2R8  ",75,view,  403-681-7030
1462,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS PARADISE DAYCARE,"6-8 76 GROSVENOR BLVD  ST. ALBERT, AB  T8N 2Y8  ",78,view,  780-459-2268
1463,DAY CARE (FACILITY-BASED PROGRAM),KIDS PARADISE DAYCARE,"6-8 76 GROSVENOR BLVD  ST. ALBERT, AB  T8N 2Y8  ",78,view,  780-459-2268
1464,DAY CARE (FACILITY-BASED PROGRAM),KIDS R FUN DAYCARE,"6630 - 20A STREET SE  CALGARY, AB  T2C 0R3  ",104,view,  403-475-6100
1465,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS R FUN DAYCARE,"6630 - 20A STREET SE  CALGARY, AB  T2C 0R3  ",104,view,  403-475-6100
1466,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS R FUN PRESCHOOL AND OUT OF SCHOOL CARE,"102, 1000 - 8 AVENUE SW  CALGARY, AB  T2P 3M7  ",82,view,  403-453-9333
1467,DAY CARE (FACILITY-BASED PROGRAM),KIDS R FUN PRESCHOOL AND OUT OF SCHOOL CARE,"102, 1000 - 8 AVENUE SW  CALGARY, AB  T2P 3M7  ",82,view,  403-453-9333
1468,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIDS R FUN PRESCHOOL AND OUT OF SCHOOL CARE,"102, 1000 - 8 AVENUE SW  CALGARY, AB  T2P 3M7  ",82,view,  403-453-9333
1469,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIDS TIME OUT PLAYPROGRAM,"301B 10 ST  COLD LAKE, AB  T9M 1A5  ",24,view,  780-639-2925
1470,DAY CARE (FACILITY-BASED PROGRAM),KIDS U BRAESIDE,"11422 BRAESIDE DRIVE SW  CALGARY, AB  T2W 4X8  ",93,view,  403-259-6328
1471,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS U BRAESIDE,"11422 BRAESIDE DRIVE SW  CALGARY, AB  T2W 4X8  ",93,view,  403-259-6328
1472,DAY CARE (FACILITY-BASED PROGRAM),KIDS U BRIDGELAND,"985 MCPHERSON ROAD NE  CALGARY, AB  T2E 6V3  ",64,view,  403-457-9810
1473,DAY CARE (FACILITY-BASED PROGRAM),KIDS U CENTENNIAL,"501, 555 - 2 AVENUE SW  CALGARY, AB  T2P 0R6  ",156,view,  403-455-4488
1474,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS U CENTENNIAL,"501, 555 - 2 AVENUE SW  CALGARY, AB  T2P 0R6  ",156,view,  403-455-4488
1475,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS U MCKNIGHT,"20, 5220 - 4 STREET NE  CALGARY, AB  T2K 5X4  ",209,view,  403-263-9780
1476,DAY CARE (FACILITY-BASED PROGRAM),KIDS U MCKNIGHT,"20, 5220 - 4 STREET NE  CALGARY, AB  T2K 5X4  ",209,view,  403-263-9780
1477,DAY CARE (FACILITY-BASED PROGRAM),KIDS U NEW BRIGHTON,"1035 NEW BRIGHTON DRIVE SE  CALGARY, AB  T2Z 5E6  ",168,view,  587-356-4674
1478,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS U NEW BRIGHTON,"1035 NEW BRIGHTON DRIVE SE  CALGARY, AB  T2Z 5E6  ",168,view,  587-356-4674
1479,DAY CARE (FACILITY-BASED PROGRAM),KIDS U STRATHMORE,"140 CAMBRIDGE GLEN DRIVE  STRATHMORE, AB  T1P 0E2  ",63,view,  403-983-2020
1480,DAY CARE (FACILITY-BASED PROGRAM),KIDS U WALDEN,"250 WALDEN DRIVE SE  CALGARY, AB  T2X 0V1  ",72,view,  587-352-5437
1481,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS U WALDEN,"250 WALDEN DRIVE SE  CALGARY, AB  T2X 0V1  ",72,view,  587-352-5437
1482,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS U WEST 85TH,"430, 8560 - 8A AVENUE SW  CALGARY, AB  T3H 1T1  ",230,view,  587-351-0898
1483,DAY CARE (FACILITY-BASED PROGRAM),KIDS U WEST 85TH,"430, 8560 - 8A AVENUE SW  CALGARY, AB  T3H 1T1  ",230,view,  587-351-0898
1484,DAY CARE (FACILITY-BASED PROGRAM),KIDS VALLEY DAYCARE,"104, 200 AWENTIA DRIVE  LEDUC, AB  T9E 0L9  ",101,view,  780-267-0699
1485,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS VALLEY DAYCARE,"104, 200 AWENTIA DRIVE  LEDUC, AB  T9E 0L9  ",101,view,  780-267-0699
1486,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS VILLAGE DAYCARE & OUT OF SCHOOL CARE,"10115 PRINCESS ELIZABETH AVE NW  EDMONTON, AB  T5G 0X9  ",49,view,  780-250-5880
1487,DAY CARE (FACILITY-BASED PROGRAM),KIDS VILLAGE DAYCARE & OUT OF SCHOOL CARE,"10115 PRINCESS ELIZABETH AVE NW  EDMONTON, AB  T5G 0X9  ",49,view,  780-250-5880
1488,DAY CARE (FACILITY-BASED PROGRAM),KIDS WORLD CHILDCARE,"BAY 5, 2915 - 19 STREET NE  CALGARY, AB  T2E 7A2  ",61,view,  403-475-7719
1489,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS WORLD CHILDCARE,"BAY 5, 2915 - 19 STREET NE  CALGARY, AB  T2E 7A2  ",61,view,  403-475-7719
1490,DAY CARE (FACILITY-BASED PROGRAM),KIDS' STOP CHILDREN'S CENTRE - AUBURN BAY,"100, 100 AUBURN MEADOWS DRIVE SE  CALGARY, AB  T3M 2G5  ",103,view,  403-452-4211
1491,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS' STOP CHILDREN'S CENTRE - AUBURN BAY,"100, 100 AUBURN MEADOWS DRIVE SE  CALGARY, AB  T3M 2G5  ",103,view,  403-452-4211
1492,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIDS' STOP CHILDREN'S CENTRE - AUBURN BAY OSC,"314, 100 AUBURN MEADOWS DRIVE SE  CALGARY, AB  T3M 2G5  ",43,view,  403-452-0454
1493,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS' STOP CHILDREN'S CENTRE - AUBURN BAY OSC,"314, 100 AUBURN MEADOWS DRIVE SE  CALGARY, AB  T3M 2G5  ",43,view,  403-452-0454
1494,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS' STOP CHILDREN'S CENTRE - DRAKE,"702 DRAKE LANDING WYND  OKOTOKS, AB  T1S 5R1  ",121,view,  403-995-6155
1495,DAY CARE (FACILITY-BASED PROGRAM),KIDS' STOP CHILDREN'S CENTRE - DRAKE,"702 DRAKE LANDING WYND  OKOTOKS, AB  T1S 5R1  ",121,view,  403-995-6155
1496,DAY CARE (FACILITY-BASED PROGRAM),KIDS' STOP CHILDREN'S CENTRE - OKOTOKS,"102 ELIZABETH STREET (A,B,C)  BOX 422  OKOTOKS, AB  T1S 1A6  ",95,view,  403-995-4610
1497,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS' STOP CHILDREN'S CENTRE - OKOTOKS,"102 ELIZABETH STREET (A,B,C)  BOX 422  OKOTOKS, AB  T1S 1A6  ",95,view,  403-995-4610
1498,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS@ CHURCHILL PARK - KAHANOFF CHILD CARE,"SUITE 200, 105 - 12 AVENUE SE  CALGARY, AB  T2G 1A1  ",87,view,  403-266-4656
1499,DAY CARE (FACILITY-BASED PROGRAM),KIDS@ CHURCHILL PARK - KAHANOFF CHILD CARE,"SUITE 200, 105 - 12 AVENUE SE  CALGARY, AB  T2G 1A1  ",87,view,  403-266-4656
1500,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIDS@ CHURCHILL PARK - KAHANOFF CHILD CARE,"SUITE 200, 105 - 12 AVENUE SE  CALGARY, AB  T2G 1A1  ",87,view,  403-266-4656
1501,DAY CARE (FACILITY-BASED PROGRAM),KIDS@ CHURCHILL PARK BRIGHT LIGHTS,"141 - 50 AVENUE SE  CALGARY, AB  T2G 4S7  ",72,view,  403-514-3222
1502,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS@ CHURCHILL PARK CONNAUGHT OUT OF SCHOOL CARE PROGRAM,"1121 - 12 AVENUE SW  CALGARY, AB  T2R 0J8  ",58,view,  403-370-8815
1503,DAY CARE (FACILITY-BASED PROGRAM),KIDS@ CHURCHILL PARK PLAYPENN,"205, 215 - 9 AVENUE SW  CALGARY, AB  T2P 1K3  ",82,view,  403-457-1334
1504,DAY CARE (FACILITY-BASED PROGRAM),KIDS@ CHURCHILL PARK PUMP-KIN PATCH,"3FLR, 150 - 6 AVENUE SW  SUNCOR CENTRE - WEST TOWER  CALGARY, AB  T2P 3E3  ",98,view,  403-296-3549
1505,DAY CARE (FACILITY-BASED PROGRAM),KIDS@ CHURCHILL PARK SUNRIDGE,"28, 2770 - 32 AVENUE NE  CALGARY, AB  T1Y 5S5  ",102,view,  587-392-5014
1506,DAY CARE (FACILITY-BASED PROGRAM),KIDS@ CHURCHILL PARK-PARKSIDE CHILD CARE,"1407 - 7 AVENUE NW  CALGARY, AB  T2N 0Z3  ",32,view,  403-457-4370
1507,DAY CARE (FACILITY-BASED PROGRAM),KIDS3 DAYCARE,"217/218/219 10175 109 STREET  EDMONTON, AB  T5J 3P2  ",108,view,  780-423-5437
1508,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDS3 DAYCARE,"217/218/219 10175 109 STREET  EDMONTON, AB  T5J 3P2  ",108,view,  780-423-5437
1509,DAY CARE (FACILITY-BASED PROGRAM),KIDSBURY DAY CARE CENTRE,"1703 - 20 AVENUE  DIDSBURY, AB  T0M 0W0  ",37,view,  403-335-3228
1510,DAY CARE (FACILITY-BASED PROGRAM),KIDSLAND PRE-SCHOOL - MCKENZIE,"812 MCKENZIE DRIVE SE  CALGARY, AB  T2Z 1W3  ",80,view,  403-257-0595
1511,DAY CARE (FACILITY-BASED PROGRAM),KIDSLAND PRE-SCHOOL LTD. #5,"665 WOODBINE BLVD SW  CALGARY, AB  T2W 6C8  ",80,view,  403-251-2332
1512,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDSLAND PRE-SCHOOL LTD. #5,"665 WOODBINE BLVD SW  CALGARY, AB  T2W 6C8  ",80,view,  403-251-2332
1513,DAY CARE (FACILITY-BASED PROGRAM),KIDSLAND PRE-SCHOOL LTD. #6,"28 MACEWAN DRIVE NW  CALGARY, AB  T3K 2P2  ",94,view,  403-275-3829
1514,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDSLAND PRE-SCHOOL LTD. #6,"28 MACEWAN DRIVE NW  CALGARY, AB  T3K 2P2  ",94,view,  403-275-3829
1515,DAY CARE (FACILITY-BASED PROGRAM),KIDSPLAY PRESCHOOL LTD.,"164 STRATTON WAY, SE  MEDICINE HAT, AB  T1B 3R3  ",45,view,  403-528-5437
1516,DAY CARE (FACILITY-BASED PROGRAM),KIDSPLAY PRESCHOOL LTD. 2,"68 RICE DRIVE, SE  MEDICINE HAT, AB  T1B 3X2  ",24,view,  403-581-7022
1517,DAY CARE (FACILITY-BASED PROGRAM),KIDSTOWN DAY CARE,"9512/9544 163 STREET  EDMONTON, AB  T5P 3M7  ",109,view,  780-489-1375
1518,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDSTOWN DAY CARE,"9512/9544 163 STREET  EDMONTON, AB  T5P 3M7  ",109,view,  780-489-1375
1519,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDSWISH,"7110, 5850 - 88 AVENUE NE  CALGARY, AB  T3J 0Z7  ",73,view,  403-862-5100
1520,DAY CARE (FACILITY-BASED PROGRAM),KIDSWISH,"7110, 5850 - 88 AVENUE NE  CALGARY, AB  T3J 0Z7  ",73,view,  403-862-5100
1521,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIDSWISH,"7110, 5850 - 88 AVENUE NE  CALGARY, AB  T3J 0Z7  ",73,view,  403-862-5100
1522,DAY CARE (FACILITY-BASED PROGRAM),KIDZ CAVE ACADEMY,"6 NESBIT AVENUE NE  LANGDON, AB  T0J 1X1  ",36,view,  403-936-8562
1523,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIDZ CHOICE PRESCHOOL,"18 HIDDEN CREEK ROAD NW  CALGARY, AB  T3A 6C5  ",24,view,  403-274-9801
1524,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZ CLUB DAYCARE,"UNIT 139 120 WYE ROAD  SHERWOOD PARK, AB  T8A 6P2  ",82,view,  780-467-7000
1525,DAY CARE (FACILITY-BASED PROGRAM),KIDZ CLUB DAYCARE,"UNIT 139 120 WYE ROAD  SHERWOOD PARK, AB  T8A 6P2  ",82,view,  780-467-7000
1526,DAY CARE (FACILITY-BASED PROGRAM),KIDZ COVE CHILDCARE,"4716 118 AVENUE  EDMONTON, AB  T5W 1B3  ",50,view,  780-477-2769
1527,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZ COVE CHILDCARE,"4716 118 AVENUE  EDMONTON, AB  T5W 1B3  ",50,view,  780-477-2769
1528,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZ HUB,"18040 98 AVENUE  EDMONTON, AB  T5T 3H6  ",49,view,  780-489-2164
1529,DAY CARE (FACILITY-BASED PROGRAM),KIDZ HUB,"18040 98 AVENUE  EDMONTON, AB  T5T 3H6  ",49,view,  780-489-2164
1530,DAY CARE (FACILITY-BASED PROGRAM),KIDZ IN THE PARK LTD. - CHILD CARE CENTRE,"2051 SHERWOOD DRIVE  SHERWOOD PARK, AB  T8A 3W9  ",86,view,  780-464-2637
1531,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZ IN THE PARK LTD. - CHILD CARE CENTRE,"2051 SHERWOOD DRIVE  SHERWOOD PARK, AB  T8A 3W9  ",86,view,  780-464-2637
1532,DAY CARE (FACILITY-BASED PROGRAM),KIDZ IN THE ROCKIES LTD,"106-4809 47 AVENUE  ROCKY MOUNTAIN HOUSE, AB  T4T 1C8  ",71,view,  403-844-0744
1533,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZ IN THE ROCKIES LTD,"106-4809 47 AVENUE  ROCKY MOUNTAIN HOUSE, AB  T4T 1C8  ",71,view,  403-844-0744
1534,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZ JUNCTION DAYCARE,"722 91 STREET SW  EDMONTON, AB  T6X 0E4  ",85,view,  780-705-0033
1535,DAY CARE (FACILITY-BASED PROGRAM),KIDZ JUNCTION DAYCARE,"722 91 STREET SW  EDMONTON, AB  T6X 0E4  ",85,view,  780-705-0033
1536,DAY CARE (FACILITY-BASED PROGRAM),KIDZ PLAYHOUSE DAYCARE,"1613 20 AVENUE  DIDSBURY, AB  T0M 0W0  ",62,view,  403-335-4757
1537,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZ PLAYHOUSE DAYCARE,"1613 20 AVENUE  DIDSBURY, AB  T0M 0W0  ",62,view,  403-335-4757
1538,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZ SPACE,"185 SKYVIEW LINK NE  CALGARY, AB  T3N 0V4  ",110,view,  587-885-1112
1539,DAY CARE (FACILITY-BASED PROGRAM),KIDZ SPACE,"185 SKYVIEW LINK NE  CALGARY, AB  T3N 0V4  ",110,view,  587-885-1112
1540,DAY CARE (FACILITY-BASED PROGRAM),KIDZ ZONE,"5625 8TH STREET WEST  CLARESHOLM, AB  T0L 0T0  ",37,view,  403-625-4151
1541,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZ ZONE,"5625 8TH STREET WEST  CLARESHOLM, AB  T0L 0T0  ",37,view,  403-625-4151
1542,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZCLUB CALGARY,"4711 MARYVALE DRIVE NE  CALGARY, AB  T2A 3A1  ",60,view,  403-616-6754
1543,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZCLUB LTD - SACRED HEART,"1312 - 15 STREET SW  CALGARY, AB  T3C 1G2  ",60,view,  403-500-2004
1544,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZEE,"11110 - 11 STREET NE  CALGARY, AB  T3K 2R5  ",125,view,  587-534-0500
1545,DAY CARE (FACILITY-BASED PROGRAM),KIDZEE,"11110 - 11 STREET NE  CALGARY, AB  T3K 2R5  ",125,view,  587-534-0500
1546,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZINC SCHOOL AGE CARE - STRATHCONA,"277 STRATHCONA DRIVE SW  CALGARY, AB  T3H 2A4  ",56,view,  403-478-7030
1547,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZINC SCHOOL AGE CARE - WILDWOOD,"120 45 ST SW  CALGARY, AB  T3C 2B3  ",48,view,  403-478-7076
1548,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZINC SCHOOL AGE CARE - BATTALION PARK,"369 SIENNA PARK DRIVE SW  CALGARY, AB  T3H 4S2  ",45,view,  403-478-7011
1549,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZINC SCHOOL AGE CARE - JOHN COSTELLO,"300 STRATHCONA DRIVE SW  CALGARY, AB  T3H 1N9  ",60,view,  403-550-8584
1550,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZINC SCHOOL AGE CARE - KILLARNEY,"3008 33 ST SW  CALGARY, AB  T3E 2T9  ",42,view,  403-805-3493
1551,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZINC SCHOOL AGE CARE - OLYMPIC HEIGHTS,"875 STRATHCONA DRIVE SW  CALGARY, AB  T3H 2Z7  ",60,view,  403-478-0083
1552,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZINC SCHOOL AGE CARE - ROSSCARROCK,"4411 10 AVE SW  CALGARY, AB  T3C 0L9  ",60,view,  403-478-7033
1553,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZINC SCHOOL AGE CARE - ST. JOSEPHINE BAKHITA,"3 EVANSGLEN CL NW  CALGARY, AB  T3P 0P2  ",60,view,  403-478-7010
1554,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KIDZONE CHILDCARE,"124 15277 CASTLE DOWNS ROAD  EDMONTON, AB  T5X 3N5  ",90,view,  780-756-5440
1555,DAY CARE (FACILITY-BASED PROGRAM),KIDZONE CHILDCARE,"124 15277 CASTLE DOWNS ROAD  EDMONTON, AB  T5X 3N5  ",90,view,  780-756-5440
1556,PRE-SCHOOL (FACILITY-BASED PROGRAM),KIKINO ABORIGINAL HEAD START,"SE 18-63-14-4  KIKINO, AB  T0A 2B0  ",22,view,  780-623-7001
1557,PRE-SCHOOL (FACILITY-BASED PROGRAM),KILLAM TINY TOTS PLAYSCHOOL,"4802 - 50AVE  BOX 655  KILLAM, AB  T0B 2L0  ",30,view,  780-385-3607
1558,DAY CARE (FACILITY-BASED PROGRAM),KINDER ACADEMY DAYCARE,"11203 97 STREET  EDMONTON, AB  T5G 1X2  ",32,view,  780-819-3254
1559,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KINDER ACADEMY DAYCARE,"11203 97 STREET  EDMONTON, AB  T5G 1X2  ",32,view,  780-819-3254
1560,DAY CARE (FACILITY-BASED PROGRAM),KINDER CAMPUS CHILD CARE COMMUNITY INC. (HILLTOP CAMPUS),"13611 119 STREET  EDMONTON, AB  T5E 5N3  ",58,,  780-425-6960
1561,DAY CARE (FACILITY-BASED PROGRAM),KINDER CAMPUS CHILDCARE COMMUNITY INC. LION'S GATE,"8612 122 AVE  EDMONTON, AB  T5B 1A7  ",67,view,  780-474-9809
1562,DAY CARE (FACILITY-BASED PROGRAM),KINDER HOUSE DAY CARE CENTRE,"15321 105 AVENUE  EDMONTON, AB  T5P 0T6  ",27,view,  780-489-6063
1563,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KINDER HOUSE DAY CARE CENTRE,"15321 105 AVENUE  EDMONTON, AB  T5P 0T6  ",27,view,  780-489-6063
1564,DAY CARE (FACILITY-BASED PROGRAM),KINDER KOLLEGE DAYCARE MCCONACHIE,"16538 59A STREET NW  EDMONTON, AB  T5Y 0B2  ",90,view,  780-906-4106
1565,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KINDER KOLLEGE DAYCARE MCCONACHIE,"16538 59A STREET NW  EDMONTON, AB  T5Y 0B2  ",90,view,  780-906-4106
1566,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KINDER STUDIOS,"2231 LONGRIDGE DRIVE SW  CALGARY, AB  T3E 5N5  ",38,view,  403-992-3584
1567,DAY CARE (FACILITY-BASED PROGRAM),KINDER STUDIOS,"2231 LONGRIDGE DRIVE SW  CALGARY, AB  T3E 5N5  ",38,view,  403-992-3584
1568,PRE-SCHOOL (FACILITY-BASED PROGRAM),KINDERGYM PRE-SCHOOL,"16 KNOWLEDGE WAY  GRANDE PRAIRIE, AB  T8W 2W9  ",32,view,  780-539-1414
1569,DAY CARE (FACILITY-BASED PROGRAM),KINDERHAUS MONTESSORI ACADEMY,"208, 10601 SOUTHPORT ROAD SW  CALGARY, AB  T2W 3M6  ",36,view,  403-452-1860
1570,DAY CARE (FACILITY-BASED PROGRAM),KINDERHOUSE OF SPRINGBANK HILL,"7655 - 26 AVENUE SW  CALGARY, AB  T3H 3X2  ",63,view,  403-975-0103
1571,PRE-SCHOOL (FACILITY-BASED PROGRAM),KINDERHOUSE OF SPRINGBANK HILL,"7655 - 26 AVENUE SW  CALGARY, AB  T3H 3X2  ",63,view,  403-975-0103
1572,PRE-SCHOOL (FACILITY-BASED PROGRAM),KINDERSSORI ACADEMY,"4606 48 STREET  LEDUC, AB  T9E 5X4  ",18,view,  780-991-6959
1573,DAY CARE (FACILITY-BASED PROGRAM),KINDERVALLEY MONTESSORI ACADEMY CORP.,"4002 - 16 STREET SW  CALGARY, AB  T2T 4H4  ",70,view,  403-454-6889
1574,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),KING EDWARD CHILD CARE CENTRE,"8530 101 STREET  KING EDWARD SCHOOL  EDMONTON, AB  T6E 3Z5  ",60,view,  780-439-9014
1575,DAY CARE (FACILITY-BASED PROGRAM),KING EDWARD CHILD CARE CENTRE,"8530 101 STREET  KING EDWARD SCHOOL  EDMONTON, AB  T6E 3Z5  ",60,view,  780-439-9014
