Type,Name,Location,Capacity,Phone
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LAUGH 'N' LEARN - LANGDON,"344 CENTRE STREET  LANGDON, AB  T0J 1X1",45,403-901-7888
PRE-SCHOOL (FACILITY-BASED PROGRAM),LAUGH 'N' LEARN - LANGDON,"344 CENTRE STREET  LANGDON, AB  T0J 1X1",45,403-901-7888
PRE-SCHOOL (FACILITY-BASED PROGRAM),LAUGH 'N' LEARN DEWINTON,"32156 HIGHWAY 552 EAST  (SCOTT SEAMAN SPORTS RINK)  DEWINTON, AB  T0L 0X0",68,587-586-6119
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LAUGH 'N' LEARN DEWINTON,"32156 HIGHWAY 552 EAST  (SCOTT SEAMAN SPORTS RINK)  DEWINTON, AB  T0L 0X0",68,587-586-6119
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LAUGH AND LEARN ACADEMY,"128, 636 KING STREET  SPRUCE GROVE, AB  T7X 4K5",36,780-554-5934
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LAURIER HEIGHTS OUT OF SCHOOL CARE,"8210 142 STREET  LAURIER HEIGHTS SCHOOL  EDMONTON, AB  T5R 0L9",120,780-497-1334
DAY CARE (FACILITY-BASED PROGRAM),LAURIER HEIGHTS OUT OF SCHOOL CARE,"8210 142 STREET  LAURIER HEIGHTS SCHOOL  EDMONTON, AB  T5R 0L9",120,780-497-1334
DAY CARE (FACILITY-BASED PROGRAM),LE COIN DES LUTINS DAYCARE,"4312 34 STREET  BONNYVILLE, AB  T9N 2R3",25,780-815-0791
PRE-SCHOOL (FACILITY-BASED PROGRAM),LE COIN DES LUTINS DAYCARE,"4312 34 STREET  BONNYVILLE, AB  T9N 2R3",25,780-815-0791
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LE COIN DES LUTINS DAYCARE,"4312 34 STREET  BONNYVILLE, AB  T9N 2R3",25,780-815-0791
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LE PAYS DES JEUX,"4810 34TH STREET  RED DEER, AB  T4N 6K6",54,780-468-6934
DAY CARE (FACILITY-BASED PROGRAM),LE PAYS DES JEUX,"4810 34TH STREET  RED DEER, AB  T4N 6K6",54,780-468-6934
DAY CARE (FACILITY-BASED PROGRAM),LEAP N LEARN CHILDCARE CENTRE SILVERADO,"19369 SHERIFF KING STREET SW  SUITE 750  CALGARY, AB  T2X 0T9",80,403-264-0515
PRE-SCHOOL (FACILITY-BASED PROGRAM),LEAP N LEARN CHILDCARE CENTRE SILVERADO,"19369 SHERIFF KING STREET SW  SUITE 750  CALGARY, AB  T2X 0T9",80,403-264-0515
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LEAP N LEARN CHILDCARE CENTRE SILVERADO,"19369 SHERIFF KING STREET SW  SUITE 750  CALGARY, AB  T2X 0T9",80,403-264-0515
PRE-SCHOOL (FACILITY-BASED PROGRAM),LEAP N LEARN CHILDCARE CENTRE WALDEN,"260, 151 WALDEN GATE SE  CALGARY, AB  T2X 0R2",40,403-453-1020
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LEAP N LEARN CHILDCARE CENTRE WALDEN,"260, 151 WALDEN GATE SE  CALGARY, AB  T2X 0R2",40,403-453-1020
PRE-SCHOOL (FACILITY-BASED PROGRAM),LEAPAH'S LEARNING GARDEN,"11610 65 AVENUE  U OF A SOUTH CAMPUS  EDMONTON, AB  T6G 2E1",20,780-492-7300
DAY CARE (FACILITY-BASED PROGRAM),LEAPS & BOUNDS CHILD CARE,"4820 54 STREET  STETTLER, AB  T0C 2L2",31,403-741-9666
DAY CARE (FACILITY-BASED PROGRAM),LEAPS & BOUNDS EARLY LEARNING CENTRE,"2803 48 STREET  EDMONTON, AB  T6L 5T7",77,780-450-0467
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LEAPS & BOUNDS EARLY LEARNING CENTRE,"2803 48 STREET  EDMONTON, AB  T6L 5T7",77,780-450-0467
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LEARN 'N' LAUGH OUT OF SCHOOL CARE,"5735 - 58 STREET  ROCKY MOUNTAIN HOUSE, AB  T4T 1S2",14,403-844-5924
PRE-SCHOOL (FACILITY-BASED PROGRAM),LEARN AND PLAY PRESCHOOL ACADEMY,"113, 178 - 96 AVENUE NE  CALGARY, AB  T3K 6G4",24,403-274-4949
DAY CARE (FACILITY-BASED PROGRAM),"LEARN, LOVE 'N LAUGH CHILD CARE CENTRE","102 17 ATHABASCA AVE  DEVON, AB  T9G 1G5",36,780-987-3349
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),"LEARN, LOVE 'N' LAUGH OUT OF SCHOOL CARE","102 17 ATHABASCA AVE.  DEVON, AB  T9G 1G5",31,780-987-3349
PRE-SCHOOL (FACILITY-BASED PROGRAM),LEARN-A-LOT PLAYSCHOOL,"5895B 8 STREET W  CLARESHOLM, AB  T0L 0T0",24,403-625-4551
DAY CARE (FACILITY-BASED PROGRAM),LEARN-N-SHARE DAY CARE,"1498 KNOTTWOOD ROAD NORTH  EDMONTON, AB  T6K 2K1",23,780-293-5258
DAY CARE (FACILITY-BASED PROGRAM),LEARNED ROBIN MONTESSORI DAY CARE,"10571 115 STREET NW  EDMONTON, AB  T5H 3K4",70,780-977-7294
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LEARNED ROBIN MONTESSORI DAY CARE,"10571 115 STREET NW  EDMONTON, AB  T5H 3K4",70,780-977-7294
PRE-SCHOOL (FACILITY-BASED PROGRAM),LEARNING ADVENTURES PRE-SCHOOL,"2839 - 49TH STREET S.W.  CALGARY, AB  T3E 3X9",32,403-242-2896
PRE-SCHOOL (FACILITY-BASED PROGRAM),LEARNING EXPERIENCE PRESCHOOL,"10 - 17107 JAMES MCKEVITT ROAD SW  CALGARY, AB  T2Y 3Y4",82,403-256-1417
DAY CARE (FACILITY-BASED PROGRAM),LEARNING EXPERIENCE PRESCHOOL,"10 - 17107 JAMES MCKEVITT ROAD SW  CALGARY, AB  T2Y 3Y4",82,403-256-1417
DAY CARE (FACILITY-BASED PROGRAM),LEARNING FOR LIFE CHILD CARE,"3303 37 STREET  EDMONTON, AB  T6L 5P9",113,780-428-0828
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LEARNING FOR LIFE CHILD CARE,"3303 37 STREET  EDMONTON, AB  T6L 5P9",113,780-428-0828
DAY CARE (FACILITY-BASED PROGRAM),LEARNING HANDS DAYCARE & OSC,"UNITS -16615 /16621-83 AVENUE NW  EDMONTON, AB  T5R 3V8",69,780-758-6647
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LEARNING HANDS DAYCARE & OSC,"UNITS -16615 /16621-83 AVENUE NW  EDMONTON, AB  T5R 3V8",69,780-758-6647
DAY CARE (FACILITY-BASED PROGRAM),LEARNING LADDER CHILDCARE LTD,"#203 15806 100 AVENUE NW  EDMONTON, AB  T5P 0L2",75,780-935-6394
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LEARNING LADDER CHILDCARE LTD,"#203 15806 100 AVENUE NW  EDMONTON, AB  T5P 0L2",75,780-935-6394
DAY CARE (FACILITY-BASED PROGRAM),LEARNING THROUGH PLAY CHILD DEVELOPMENT CENTRE,"14618 50 STREET  EDMONTON, AB  T5A 4W9",88,780-476-4322
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LEARNING THROUGH PLAY CHILD DEVELOPMENT CENTRE,"14618 50 STREET  EDMONTON, AB  T5A 4W9",88,780-476-4322
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LEARNING THROUGH PLAY MONTESSORI DAY CARE,"8620 91 STREET  RUTHERFORD SCHOOL  EDMONTON, AB  T6C 0M1",56,780-469-0963
DAY CARE (FACILITY-BASED PROGRAM),LEARNING THROUGH PLAY MONTESSORI DAY CARE,"8620 91 STREET  RUTHERFORD SCHOOL  EDMONTON, AB  T6C 0M1",56,780-469-0963
PRE-SCHOOL (FACILITY-BASED PROGRAM),LEARNING TOGETHER PRESCHOOL,"12721 120 ST NW  EDMONTON, AB  T5E 5N4",25,780-720-1359
PRE-SCHOOL (FACILITY-BASED PROGRAM),LEGACIES ACADEMY,"410 MACLEOD TRAIL SW  HIGH RIVER, AB  T1V 1B5",20,403-875-0194
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LEGACY CHILDCARE,"SUITE 102, 400-6 AVE. NE  SLAVE LAKE, AB  T0G 2A2",184,780-849-2365
DAY CARE (FACILITY-BASED PROGRAM),LEGACY CHILDCARE,"SUITE 102, 400-6 AVE. NE  SLAVE LAKE, AB  T0G 2A2",184,780-849-2365
DAY CARE (FACILITY-BASED PROGRAM),LEGACY MONTESSORI ACADEMY LTD.,"5128 - 150 LEGACY MAIN STREET SE  CALGARY, AB  T2X 2C2",51,403-903-4042
DAY CARE (FACILITY-BASED PROGRAM),LEGAL CHILD CENTRE,"5122 - 46 STREET  LEGAL, AB  T0G 1L0",45,780-271-6643
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LEGAL CHILD CENTRE,"5122 - 46 STREET  LEGAL, AB  T0G 1L0",45,780-271-6643
DAY CARE (FACILITY-BASED PROGRAM),LES ANGES CHILD CARE CENTRE,"103, 139 - 18 AVENUE NE  CALGARY, AB  T2E 1N1",30,403-509-0881
DAY CARE (FACILITY-BASED PROGRAM),LES JOYEUX COLIBRIS,"20 SAAMIS ROTARY WAY SW  MEDICINE HAT, AB  T1B 4N5",46,403-528-2881
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LES JOYEUX COLIBRIS,"20 SAAMIS ROTARY WAY SW  MEDICINE HAT, AB  T1B 4N5",46,403-528-2881
DAY CARE (FACILITY-BASED PROGRAM),LES KINOU-CHOUX/ECOLE VOYAGEUR,"4719-69 AVENUE  COLD LAKE, AB  T9M 2E6",80,780-594-0444
PRE-SCHOOL (FACILITY-BASED PROGRAM),LES KINOU-CHOUX/ECOLE VOYAGEUR,"4719-69 AVENUE  COLD LAKE, AB  T9M 2E6",80,780-594-0444
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LES KINOU-CHOUX/ECOLE VOYAGEUR,"4719-69 AVENUE  COLD LAKE, AB  T9M 2E6",80,780-594-0444
PRE-SCHOOL (FACILITY-BASED PROGRAM),LES PETITES ABEILLES,"132 QUIGLEY DRIVE  COCHRANE, AB  T4C 1R1",23,403-851-0244
DAY CARE (FACILITY-BASED PROGRAM),LES PETITES ABEILLES,"132 QUIGLEY DRIVE  COCHRANE, AB  T4C 1R1",23,403-851-0244
DAY CARE (FACILITY-BASED PROGRAM),LES PETITS GEANTS,"3720 - 42 STREET NW  CALGARY, AB  T3A 0C6",124,587-576-9815
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LES PETITS GEANTS,"3720 - 42 STREET NW  CALGARY, AB  T3A 0C6",124,587-576-9815
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LES PETITS GEANTS - NM,"220 SCENIC ACRES DRIVE NW  CALGARY, AB  T3L 0E7",100,587-894-6690
PRE-SCHOOL (FACILITY-BASED PROGRAM),LES PETITS SOLEILS INC.,"271 CONIFER STREET  CAMPBELLTOWN SCHOOL  SHERWOOD PARK, AB  T8A 1M4",90,780-709-2609
DAY CARE (FACILITY-BASED PROGRAM),LES PETITS SOLEILS INC.,"271 CONIFER STREET  CAMPBELLTOWN SCHOOL  SHERWOOD PARK, AB  T8A 1M4",90,780-709-2609
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LES PETITS SOLEILS INC.,"271 CONIFER STREET  CAMPBELLTOWN SCHOOL  SHERWOOD PARK, AB  T8A 1M4",90,780-709-2609
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LES TOURNESOLS/SUNFLOWERS BILINGUAL MONTESSORI CENTRE,"7055 99 STREET  J.H PICAR  EDMONTON, AB  T6E 3R4",34,780-431-2534
DAY CARE (FACILITY-BASED PROGRAM),LES TOURNESOLS/SUNFLOWERS BILINGUAL MONTESSORI CENTRE,"7055 99 STREET  J.H PICAR  EDMONTON, AB  T6E 3R4",34,780-431-2534
PRE-SCHOOL (FACILITY-BASED PROGRAM),LESSARD COMMUNITY LEAGUE PLAYSCHOOL,"17404 - 57 AVENUE (BASEMENT)  EDMONTON, AB  T6M 1K4",20,790-993-6579
DAY CARE (FACILITY-BASED PROGRAM),LESSARD DAYCARE,"#131, 6104 172 STREET NW  EDMONTON, AB  T6M 1G9",100,780-481-7817
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LESSARD DAYCARE,"#131, 6104 172 STREET NW  EDMONTON, AB  T6M 1G9",100,780-481-7817
DAY CARE (FACILITY-BASED PROGRAM),LETHBRIDGE MONTESSORI SCHOOL,"915 - 6 STREET SOUTH  LETHBRIDGE, AB  T1J 2E9",50,403-327-5271
DAY CARE (FACILITY-BASED PROGRAM),"LETHBRIDGE MONTESSORI SCHOOL LTD, FORESTRY","3611 FORESTRY AVENUE SOUTH  LETHBRIDGE, AB  T1K 3L5",140,403-327-5222
PRE-SCHOOL (FACILITY-BASED PROGRAM),LETHBRIDGE PLAY AND LEARN PRESCHOOL SOCIETY,"2329 - 15 AVENUE SOUTH  LETHBRIDGE, AB  T1K 0X5",19,403-329-8414
DAY CARE (FACILITY-BASED PROGRAM),LI'L EINSTEINS INC LEARNING CENTRE,"2009 CAMERON RAVINE WAY  EDMONTON, AB  T6M 0L9",75,780-807-1229
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LI'L EINSTEINS INC LEARNING CENTRE,"2009 CAMERON RAVINE WAY  EDMONTON, AB  T6M 0L9",75,780-807-1229
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LIGHT OF CHRIST OSC,"10140-104 STREET  LAC LA BICHE, AB  T0A 2C0",75,780-623-3667
PRE-SCHOOL (FACILITY-BASED PROGRAM),LIGHT OF CHRIST OSC,"10140-104 STREET  LAC LA BICHE, AB  T0A 2C0",75,780-623-3667
DAY CARE (FACILITY-BASED PROGRAM),LIL SASH DAYCARE,"SE-17-57-24 PLAN 900 181 BLOCK 7 LOT 3-5  FISHING LAKE METIS S, AB  T0A 3G0",30,780-943-2965
DAY CARE (FACILITY-BASED PROGRAM),LIL' BEE DAYCARE,"10925, 97 AVENUE  GRANDE CACHE, AB  T0E 0Y0",52,780-501-9209
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LIL' BEE DAYCARE,"10925, 97 AVENUE  GRANDE CACHE, AB  T0E 0Y0",52,780-501-9209
PRE-SCHOOL (FACILITY-BASED PROGRAM),LIL' DREAMERS DAYCARE,"11-315 10 AVENUE  CARSTAIRS, AB  T0M 0N0",81,403-337-2424
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LIL' DREAMERS DAYCARE,"11-315 10 AVENUE  CARSTAIRS, AB  T0M 0N0",81,403-337-2424
DAY CARE (FACILITY-BASED PROGRAM),LIL' DREAMERS DAYCARE,"11-315 10 AVENUE  CARSTAIRS, AB  T0M 0N0",81,403-337-2424
DAY CARE (FACILITY-BASED PROGRAM),LIL' SPROUTS PRESCHOOL,"117 9505 68TH AVENUE  GRANDE PRAIRIE, AB  T8V 7X8",24,780-933-4649
PRE-SCHOOL (FACILITY-BASED PROGRAM),LIL' STARS PRESCHOOL,"5520 - 45 AVENUE CRESCENT  PONOKA, AB  T4J 1N6",40,403-704-1155
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LILLIPUT DAYCARE CENTRE,"11214 109 AVENUE  EDMONTON, AB  T5H 1E1",77,780-426-2720
DAY CARE (FACILITY-BASED PROGRAM),LILLIPUT DAYCARE CENTRE,"11214 109 AVENUE  EDMONTON, AB  T5H 1E1",77,780-426-2720
PRE-SCHOOL (FACILITY-BASED PROGRAM),LINDEN PLAYSCHOOL,"215 1ST STREET SE  LINDEN, AB  T0M 1J0",19,403-546-3863
DAY CARE (FACILITY-BASED PROGRAM),LION KING DAYCARE CENTRE,"1235 - 3 STREET, WEST  BROOKS, AB  T1R 0P7",40,403-794-2121
DAY CARE (FACILITY-BASED PROGRAM),LITTLE ANGELS DAYCARE,"105, 400 MAIN STREET N  AIRDRIE, AB  T4B 2N1",102,403-980-5677
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE ANGELS DAYCARE,"105, 400 MAIN STREET N  AIRDRIE, AB  T4B 2N1",102,403-980-5677
DAY CARE (FACILITY-BASED PROGRAM),LITTLE ANGELS' DAYCARE,"10127 145 STREET  EDMONTON, AB  T5N 2X6",35,780-450-3321
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE ANGELS' DAYCARE AND OUT OF SCHOOL CARE,"10345 144 ST  GROVENOR SCHOOL  EDMONTON, AB  T5N 2V3",24,780-465-6520
PRE-SCHOOL (FACILITY-BASED PROGRAM),LITTLE ASPEN PLAYSCHOOL,"12015 39A AVENUE  EDMONTON, AB  T6J 1X6",15,780-434-2687
DAY CARE (FACILITY-BASED PROGRAM),LITTLE BEE EARLY LEARNING ACADEMY,"13008 122 AVENUE  EDMONTON, AB  T5L 1M8",23,587-709-0660
PRE-SCHOOL (FACILITY-BASED PROGRAM),LITTLE BLESSINGS CHRISTIAN PRESCHOOL,"5104 ELLERSLIE RD SW  EDMONTON, AB  T6X 1A4",24,780-440-6037
DAY CARE (FACILITY-BASED PROGRAM),LITTLE BUNNIES LEARNING CENTRE AND OSC,"9540 111 AVE NW  EDMONTON, AB  T5G 0A7",45,780-474-4972
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE BUNNIES LEARNING CENTRE AND OSC,"9540 111 AVE NW  EDMONTON, AB  T5G 0A7",45,780-474-4972
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE CHAMPIONS DAYCARE,"3715 8 AVENUE SW  EDMONTON, AB  T6X 2G6",73,780-965-2214
DAY CARE (FACILITY-BASED PROGRAM),LITTLE CHAMPIONS DAYCARE,"3715 8 AVENUE SW  EDMONTON, AB  T6X 2G6",73,780-965-2214
DAY CARE (FACILITY-BASED PROGRAM),LITTLE CHAMPS DAYCARE CENTRE,"412 415 8170 50 STREET  EDMONTON, AB  T6B 1E6",83,587-758-7794
PRE-SCHOOL (FACILITY-BASED PROGRAM),LITTLE CHAMPS DAYCARE CENTRE,"412 415 8170 50 STREET  EDMONTON, AB  T6B 1E6",83,587-758-7794
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE CHAMPS DAYCARE CENTRE,"412 415 8170 50 STREET  EDMONTON, AB  T6B 1E6",83,587-758-7794
DAY CARE (FACILITY-BASED PROGRAM),LITTLE DUCKLING DAYCARE,"267 4TH STREET  SUNDRE, AB  T0M 1X0",20,403-638-1713
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE DUCKLING DAYCARE,"267 4TH STREET  SUNDRE, AB  T0M 1X0",20,403-638-1713
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE EINSTEINS DAYCARE @ ST. ALBERT INC.,"100, 1 TACHE STREET  ST. ALBERT, AB  T8N 1B4",101,780-569-5001
DAY CARE (FACILITY-BASED PROGRAM),LITTLE EINSTEINS DAYCARE @ ST. ALBERT INC.,"100, 1 TACHE STREET  ST. ALBERT, AB  T8N 1B4",101,780-569-5001
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE EINSTEINS OSC AT BATURYN,"10603 172 AVENUE  BATURYN SCHOOL  EDMONTON, AB  T5X 4X4",33,780-457-2475
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE EINSTEINS OSC AT ST. CHARLES,"105 10423 172 AVENUE  ST. CHARLES SCHOOL  EDMONTON, AB  T5X 4X4",30,780-472-1936
PRE-SCHOOL (FACILITY-BASED PROGRAM),LITTLE EXPLORER'S PRESCHOOL INC.,"1-12 SIERRA DRIVE, SW  MEDICINE HAT, AB  T1B 4S5",36,403-977-1100
PRE-SCHOOL (FACILITY-BASED PROGRAM),LITTLE EXPLORERS CHILD CARE & DISCOVERY CENTRE - DAY CARE PROGRAM,"245 - 3 STREET WEST  DRUMHELLER, AB  T0J 0Y0",110,403-856-8111
DAY CARE (FACILITY-BASED PROGRAM),LITTLE EXPLORERS CHILD CARE & DISCOVERY CENTRE - DAY CARE PROGRAM,"245 - 3 STREET WEST  DRUMHELLER, AB  T0J 0Y0",110,403-856-8111
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE EXPLORERS CHILD CARE & DISCOVERY CENTRE - DAY CARE PROGRAM,"245 - 3 STREET WEST  DRUMHELLER, AB  T0J 0Y0",110,403-856-8111
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE FEET BIG STEPS DAYCARE,"117/119, 121 TOWN CREST ROAD  FORT SASKATCHEWAN, AB  T8L 0G7",76,780-906-8542
DAY CARE (FACILITY-BASED PROGRAM),LITTLE FEET BIG STEPS DAYCARE,"117/119, 121 TOWN CREST ROAD  FORT SASKATCHEWAN, AB  T8L 0G7",76,780-906-8542
DAY CARE (FACILITY-BASED PROGRAM),LITTLE FLOWER CHILDCARE CENTRE LTD.,"266 - 25 AVENUE NE  CALGARY, AB  T2E 1Y1",80,403-230-5444
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE FLOWER CHILDCARE CENTRE LTD.,"266 - 25 AVENUE NE  CALGARY, AB  T2E 1Y1",80,403-230-5444
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE FLOWERS DAY CARE,"2304 38 STREET  EDMONTON, AB  T6L 4K9",76,780-965-6066
PRE-SCHOOL (FACILITY-BASED PROGRAM),LITTLE FLOWERS DAY CARE,"2304 38 STREET  EDMONTON, AB  T6L 4K9",76,780-965-6066
DAY CARE (FACILITY-BASED PROGRAM),LITTLE FLOWERS DAY CARE,"2304 38 STREET  EDMONTON, AB  T6L 4K9",76,780-965-6066
DAY CARE (FACILITY-BASED PROGRAM),LITTLE FOOTSTEPS DAYCARE INC.,"4913 52 AVENUE  STONY PLAIN, AB  T7Z 1V2",58,780-591-5775
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE FOOTSTEPS DAYCARE INC.,"4913 52 AVENUE  STONY PLAIN, AB  T7Z 1V2",58,780-591-5775
DAY CARE (FACILITY-BASED PROGRAM),LITTLE FOREST DWELLERS EARLY LEARNING CHILDCARE CENTER,"67 COMMERCIAL COURT  CALGARY, AB  T3Z 2A6",18,587-575-9465
PRE-SCHOOL (FACILITY-BASED PROGRAM),LITTLE FRIENDS NURSERY CENTRE,"9915 148 STREET  EDMONTON, AB  T5N 3G1",30,780-499-2145
DAY CARE (FACILITY-BASED PROGRAM),LITTLE GENIUS DAYCARE LTD.,"13931 140 STREET  EDMONTON, AB  T6V 1J7",67,780-457-8215
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE GENIUS DAYCARE LTD.,"13931 140 STREET  EDMONTON, AB  T6V 1J7",67,780-457-8215
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE GOLDEN DAYCARE,"11007/11015 107 AVENUE  EDMONTON, AB  T5H 0X6",70,780-426-6871
DAY CARE (FACILITY-BASED PROGRAM),LITTLE GOLDEN DAYCARE,"11007/11015 107 AVENUE  EDMONTON, AB  T5H 0X6",70,780-426-6871
PRE-SCHOOL (FACILITY-BASED PROGRAM),LITTLE HANDS LEARNING PRESCHOOL,"325 WOODVALE ROAD WEST  EDMONTON, AB  T6L 3Z7",18,780-974-7641
DAY CARE (FACILITY-BASED PROGRAM),LITTLE HANDS MONTESSORI ACADEMY LTD.,"79 ELIZABETH STREET  OKOTOKS, AB  T1S 1K4",32,403-982-5462
DAY CARE (FACILITY-BASED PROGRAM),LITTLE HAVEN DAY CARE,"3721 118 AVENUE  EDMONTON, AB  T5W 0Z3",61,587-784-6247
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE HAVEN DAY CARE,"3721 118 AVENUE  EDMONTON, AB  T5W 0Z3",61,587-784-6247
DAY CARE (FACILITY-BASED PROGRAM),LITTLE HEARTPRINTS ACADEMY INC.,"1915 - 33 AVENUE SW  CALGARY, AB  T2T 1Z3",18,403-829-1014
PRE-SCHOOL (FACILITY-BASED PROGRAM),LITTLE KIDS ACTIVE LEARNERS PRESCHOOL,"11950 COUNTRY VILLAGE LINK NE  CALGARY, AB  T3K 6E3",33,403-567-4485
PRE-SCHOOL (FACILITY-BASED PROGRAM),LITTLE LAMBS CHRISTIAN PRE-SCHOOL,"20 ROCKY MOUNTAIN BLVD. WEST  LETHBRIDGE, AB  T1K 8E1",18,403-892-6627
PRE-SCHOOL (FACILITY-BASED PROGRAM),LITTLE LAMBS CHRISTIAN PRESCHOOL,"5406-49 STREET  BARRHEAD, AB  T7N 1A3",16,780-674-2788
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE LEADERS - PRAIRIE WATERS,"201 INVERMERE DRIVE  CHESTERMERE, AB  T1X 1M6",45,403-613-3172
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE LEADERS - EAST LAKE,"325 KINNIBURGH BLVD  CHESTERMERE, AB  T1X 0P4",45,403-389-6537
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE LEADERS - KINDER CARE,"102, 300 MERGANSER DRIVE WEST  CHESTERMERE, AB  T1X 1L6",30,403-619-4354
DAY CARE (FACILITY-BASED PROGRAM),LITTLE LEADERS LEARN & PLAY,"1819 2ND AVE  FORT MACLEOD, AB  T0L 0Z0",30,403-553-0087
DAY CARE (FACILITY-BASED PROGRAM),LITTLE LEARNERS DAYCARE,"6525 111 STREET  EDMONTON, AB  T6H 4R5",55,780-758-9144
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE LEARNERS DAYCARE,"6525 111 STREET  EDMONTON, AB  T6H 4R5",55,780-758-9144
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE LEARNERS DAYCARE CAMPBELL,"UNIT 130  310 CARLTON DRIVE  ST. ALBERT, AB  T8N 7L3",91,780-460-0192
DAY CARE (FACILITY-BASED PROGRAM),LITTLE LEARNERS DAYCARE CAMPBELL,"UNIT 130  310 CARLTON DRIVE  ST. ALBERT, AB  T8N 7L3",91,780-460-0192
DAY CARE (FACILITY-BASED PROGRAM),LITTLE LEARNERS PRESCHOOL INC.,"305, 10820 - 24 STREET SE  CALGARY, AB  T2Z 4C9",59,403-279-0969
PRE-SCHOOL (FACILITY-BASED PROGRAM),LITTLE LEARNERS PRESCHOOL INC.,"305, 10820 - 24 STREET SE  CALGARY, AB  T2Z 4C9",59,403-279-0969
DAY CARE (FACILITY-BASED PROGRAM),LITTLE LEARNING HOUSE INC,"6553/6557 99 STREET NW  EDMONTON, AB  T6E 3P5",54,780-903-4770
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE LEARNING HOUSE INC,"6553/6557 99 STREET NW  EDMONTON, AB  T6E 3P5",54,780-903-4770
DAY CARE (FACILITY-BASED PROGRAM),LITTLE MOUNTAINEERS LEARNING CENTRE LTD.,"7632 - 17 AVENUE  COLEMAN, AB  T0K 0M0",26,403-753-5015
DAY CARE (FACILITY-BASED PROGRAM),LITTLE MUNCHKINS CHILDCARE,"#317, 7004 149 AVENUE  EDMONTON, AB  T5C 2V3",48,780-478-4523
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),LITTLE MUNCHKINS CHILDCARE,"#317, 7004 149 AVENUE  EDMONTON, AB  T5C 2V3",48,780-478-4523
